Grade;Zx;Zy;Strain;Stress;Area
B30;-0.25;-0.2;-0.003405487763577743;-17.0;0.0
B30;-0.25;-0.15;-0.0030899538621931657;-17.0;0.0
B30;-0.25;-0.1;-0.0027744199608085883;-17.0;0.0
B30;-0.25;-0.05;-0.002458886059424011;-17.0;0.0
B30;-0.25;0.0;-0.0021433521580394334;-17.0;0.0
B30;-0.25;0.05;-0.001827818256654856;-16.305617485267078;0.0
B30;-0.25;0.1;-0.0015122843552702785;-15.033117743597497;0.0
B30;-0.25;0.15;-0.001196750453885701;-13.760618001927918;0.0
B30;-0.25;0.2;-0.0008812165525011237;-12.48811826025834;0.0
B30;0.25;-0.2;0.0004007503793450033;0.0;0.0
B30;0.25;-0.15;0.0007162842807295807;0.0;0.0
B30;0.25;-0.1;0.0010318181821141583;0.0;0.0
B30;0.25;-0.05;0.0013473520834987357;0.0;0.0
B30;0.25;0.0;0.0016628859848833132;0.0;0.0
B30;0.25;0.05;0.0019784198862678906;0.0;0.0
B30;0.25;0.1;0.002293953787652468;0.0;0.0
B30;0.25;0.15;0.0026094876890370455;0.0;0.0
B30;0.25;0.2;0.002925021590421623;0.0;0.0
B30;-0.2;-0.2;-0.0030248639492854684;-17.0;0.0
B30;-0.15;-0.2;-0.0026442401349931937;-17.0;0.0
B30;-0.1;-0.2;-0.0022636163207009194;-17.0;0.0
B30;-0.05;-0.2;-0.0018829925064086446;-16.528126756855414;0.0
B30;0.0;-0.2;-0.0015023686921163699;-14.993129397665525;0.0
B30;0.05;-0.2;-0.0011217448778240954;-13.458132038475638;0.0
B30;0.1;-0.2;-0.0007411210635318206;-11.923134679285747;0.0
B30;0.15;-0.2;-0.00036049724923954604;-10.38813732009586;0.0
B30;0.2;-0.2;2.012656505272873e-05;0.0;0.0
B30;-0.2;0.2;-0.0005005927382088491;-10.95312090106845;0.0
B30;-0.15;0.2;-0.00011996892391657435;-3.8989900272886664;0.0
B30;-0.1;0.2;0.00026065489037570017;0.0;0.0
B30;-0.05;0.2;0.0006412787046679749;0.0;0.0
B30;0.0;0.2;0.0010219025189602497;0.0;0.0
B30;0.05;0.2;0.0014025263332525244;0.0;0.0
B30;0.1;0.2;0.0017831501475447991;0.0;0.0
B30;0.15;0.2;0.0021637739618370734;0.0;0.0
B30;0.2;0.2;0.002544397776129348;0.0;0.0
B30;-0.225;-0.175;-0.003057408905739317;-17.0;0.0025
B30;-0.175;-0.175;-0.0026767850914470423;-17.0;0.0025
B30;-0.125;-0.175;-0.0022961612771547676;-17.0;0.0025
B30;-0.075;-0.175;-0.001915537462862493;-16.65937556561557;0.0025
