Grade;Z;Strain1;Strain2;Stress1;Stress2;Angle;Area
B60;0.25;0.004544377645301925;2.7405188738614458e-05;0.0;0.0;48.178;0.0
B60;0.24;0.004438774833464719;2.4566203977365118e-05;0.0;0.0;48.178;0.02
B60;0.22;0.004227569211193759;1.8888233051413562e-05;0.0;0.0;48.177;0.02
B60;0.2;0.004016363591034255;1.3210260014004296e-05;0.0;0.0;48.176;0.02
B60;0.18;0.0038051579733290254;7.532284522322567e-06;0.0;0.0;48.175;0.02
B60;0.16;0.003593952358499345;1.8543061550918647e-06;0.0;0.0;48.174;0.02
B60;0.14;0.003382746747068755;-3.823675611230393e-06;0.0;-0.15103518664360052;48.173;0.02
B60;0.12;0.0031715411396961036;-9.501661435491098e-06;0.0;-0.3753156267018984;48.171;0.02
B60;0.1;0.0029603355372222724;-1.5179652158571868e-05;0.0;-0.5995962602635888;48.169;0.02
B60;0.08;0.0027491299407377103;-2.0857648870921397e-05;0.0;-0.8238771304013952;48.167;0.02
B60;0.06;0.002537924351682439;-2.6535653012561833e-05;0.0;-1.0481582939961924;48.165;0.02
B60;0.04;0.002326718771998342;-3.221366652537711e-05;0.0;-1.2724398277523958;48.163;0.02
B60;0.02;0.002115513204368661;-3.78916920926078e-05;0.0;-1.496721837658008;48.159;0.02
B60;0.0;0.0019043076526091102;-4.356973352996857e-05;0.0;-1.7210044744337585;48.156;0.02
B60;-0.02;0.0016931021223358083;-4.924779645357842e-05;0.0;-1.9452879599163475;48.151;0.02
B60;-0.04;0.0014818966221691672;-5.4925889483849254e-05;0.0;-2.1695726346120456;48.145;0.02
B60;-0.06;0.001270691166052926;-6.060402656451981e-05;0.0;-2.3938590492985323;48.137;0.02
B60;-0.08;0.0010594857781134424;-6.6282231821948e-05;0.0;-2.6181481569669462;48.126;0.02
B60;-0.1;0.0008482805040306312;-7.196055093604866e-05;0.0;-2.842441761973922;48.111;0.02
B60;-0.12;0.000637075442028123;-7.763908213045219e-05;0.0;-3.0667437441528613;48.086;0.02
B60;-0.14;0.0004258708489152168;-8.331808221445804e-05;0.0;-3.2910642474710925;48.042;0.02
B60;-0.16;0.000214667676748369;-8.899850324452195e-05;0.0;-3.515440878158617;47.938;0.02
B60;-0.18;3.474851292697909e-06;-9.468927098576254e-05;0.0;-3.7402262039376204;47.4;0.02
B60;-0.2;-0.00010033097949253535;-0.0002077670333974412;-3.9630736899551464;-8.206797819198927;-41.077;0.02
B60;-0.22;-0.00010602029368197779;-0.00041896131240491067;-4.187801600438123;-16.54897183999397;-41.555;0.02
B60;-0.24;-0.00011170059859613431;-0.0006301646006876658;-4.412173644547305;-20.93526585042922;-41.654;0.02
B60;-0.25;-0.00011454016682157017;-0.0007357668290606859;-4.524336589452022;-21.865350451515113;-41.679;0.0
A500;0.178;0.001686627804633879;0.0;337.32556092677584;0.0;0.0;0.002454
A500;0.153;0.0019545225178462557;0.0;390.9045035692512;0.0;90.0;0.002454
A500;-0.153;0.00012033922697562065;0.0;24.06784539512413;0.0;90.0;0.002454
A500;-0.178;-4.0013711297471645e-05;0.0;-8.00274225949433;0.0;0.0;0.002454
