Grade;Zx;Zy;Strain;Stress;Area
B30;-0.25;-0.2;-0.003405487763577744;-17.0;0.0
B30;-0.25;-0.15;-0.0030899538621931666;-17.0;0.0
B30;-0.25;-0.1;-0.002774419960808589;-17.0;0.0
B30;-0.25;-0.05;-0.0024588860594240113;-17.0;0.0
B30;-0.25;0.0;-0.002143352158039434;-17.0;0.0
B30;-0.25;0.05;-0.001827818256654856;-16.305617485267078;0.0
B30;-0.25;0.1;-0.0015122843552702785;-15.033117743597497;0.0
B30;-0.25;0.15;-0.0011967504538857006;-13.760618001927917;0.0
B30;-0.25;0.2;-0.0008812165525011231;-12.488118260258338;0.0
B30;0.25;-0.2;0.00040075037934500263;0.0;0.0
B30;0.25;-0.15;0.0007162842807295803;0.0;0.0
B30;0.25;-0.1;0.0010318181821141578;0.0;0.0
B30;0.25;-0.05;0.0013473520834987357;0.0;0.0
B30;0.25;0.0;0.0016628859848833132;0.0;0.0
B30;0.25;0.05;0.001978419886267891;0.0;0.0
B30;0.25;0.1;0.002293953787652469;0.0;0.0
B30;0.25;0.15;0.0026094876890370463;0.0;0.0
B30;0.25;0.2;0.002925021590421624;0.0;0.0
B30;-0.2;-0.2;-0.0030248639492854697;-17.0;0.0
B30;-0.15;-0.2;-0.0026442401349931945;-17.0;0.0
B30;-0.1;-0.2;-0.0022636163207009202;-17.0;0.0
B30;-0.05;-0.2;-0.0018829925064086455;-16.528126756855418;0.0
B30;0.0;-0.2;-0.0015023686921163707;-14.993129397665527;0.0
B30;0.05;-0.2;-0.001121744877824096;-13.45813203847564;0.0
B30;0.1;-0.2;-0.0007411210635318214;-11.92313467928575;0.0
B30;0.15;-0.2;-0.00036049724923954685;-10.388137320095861;0.0
B30;0.2;-0.2;2.0126565052728108e-05;0.0;0.0
B30;-0.2;0.2;-0.0005005927382088485;-10.953120901068448;0.0
B30;-0.15;0.2;-0.00011996892391657359;-3.8989900272886415;0.0
B30;-0.1;0.2;0.00026065489037570093;0.0;0.0
B30;-0.05;0.2;0.0006412787046679757;0.0;0.0
B30;0.0;0.2;0.0010219025189602505;0.0;0.0
B30;0.05;0.2;0.0014025263332525253;0.0;0.0
B30;0.1;0.2;0.0017831501475448;0.0;0.0
B30;0.15;0.2;0.0021637739618370743;0.0;0.0
B30;0.2;0.2;0.0025443977761293495;0.0;0.0
B30;-0.225;-0.175;-0.003057408905739318;-17.0;0.0025
B30;-0.175;-0.175;-0.002676785091447043;-17.0;0.0025
B30;-0.125;-0.175;-0.0022961612771547684;-17.0;0.0025
B30;-0.075;-0.175;-0.0019155374628624937;-16.659375565615573;0.0025
B30;-0.025;-0.175;-0.0015349136485702194;-15.124378206425684;0.0025
B30;0.025;-0.175;-0.0011542898342779447;-13.589380847235795;0.0025
B30;0.075;-0.175;-0.0007736660199856699;-12.054383488045904;0.0025
B30;0.125;-0.175;-0.0003930422056933952;-10.519386128856016;0.0025
B30;0.175;-0.175;-1.2418391401120541e-05;-0.40359772053641757;0.0025
B30;0.225;-0.175;0.0003682054228911542;0.0;0.0025
B30;-0.225;-0.125;-0.0027418750043547405;-17.0;0.0025
B30;-0.175;-0.125;-0.0023612511900624657;-17.0;0.0025
B30;-0.125;-0.125;-0.001980627375770191;-16.92187318313588;0.0025
B30;-0.075;-0.125;-0.0016000035614779163;-15.386875823945992;0.0025
B30;-0.025;-0.125;-0.0012193797471856415;-13.851878464756103;0.0025
B30;0.025;-0.125;-0.000838755932893367;-12.316881105566216;0.0025
B30;0.075;-0.125;-0.00045813211860109236;-10.781883746376325;0.0025
B30;0.125;-0.125;-7.750830430881762e-05;-2.5190198900365726;0.0025
B30;0.175;-0.125;0.000303115509983457;0.0;0.0025
B30;0.225;-0.125;0.0006837393242757317;0.0;0.0025
B30;-0.225;-0.075;-0.0024263411029701626;-17.0;0.0025
B30;-0.175;-0.075;-0.002045717288677888;-17.0;0.0025
B30;-0.125;-0.075;-0.0016650934743856136;-15.649373441466302;0.0025
B30;-0.075;-0.075;-0.0012844696600933388;-14.114376082276413;0.0025
B30;-0.025;-0.075;-0.0009038458458010641;-12.579378723086524;0.0025
B30;0.025;-0.075;-0.0005232220315087893;-11.044381363896633;0.0025
B30;0.075;-0.075;-0.0001425982172165147;-4.6344420595367275;0.0025
B30;0.125;-0.075;0.00023802559707576003;0.0;0.0025
B30;0.175;-0.075;0.0006186494113680347;0.0;0.0025
B30;0.225;-0.075;0.0009992732256603096;0.0;0.0025
B30;-0.225;-0.025;-0.002110807201585585;-17.0;0.0025
B30;-0.175;-0.025;-0.0017301833872933104;-15.91187105898661;0.0025
B30;-0.125;-0.025;-0.0013495595730010357;-14.376873699796722;0.0025
B30;-0.075;-0.025;-0.000968935758708761;-12.841876340606833;0.0025
B30;-0.025;-0.025;-0.0005883119444164864;-11.306878981416945;0.0025
B30;0.025;-0.025;-0.00020768813012421168;-6.74986422903688;0.0025
B30;0.075;-0.025;0.00017293568416806295;0.0;0.0025
B30;0.125;-0.025;0.0005535594984603377;0.0;0.0025
B30;0.175;-0.025;0.0009341833127526122;0.0;0.0025
B30;0.225;-0.025;0.001314807127044887;0.0;0.0025
B30;-0.225;0.025;-0.0017952733002010073;-16.174368676506923;0.0025
B30;-0.175;0.025;-0.0014146494859087325;-14.639371317317032;0.0025
B30;-0.125;0.025;-0.0010340256716164582;-13.104373958127143;0.0025
B30;-0.075;0.025;-0.0006534018573241834;-11.569376598937254;0.0025
B30;-0.025;0.025;-0.00027277804303190876;-8.865286398537036;0.0025
B30;0.025;0.025;0.00010784577126036598;0.0;0.0025
B30;0.075;0.025;0.0004884695855526406;0.0;0.0025
B30;0.125;0.025;0.0008690933998449154;0.0;0.0025
B30;0.175;0.025;0.0012497172141371902;0.0;0.0025
B30;0.225;0.025;0.001630341028429465;0.0;0.0025
B30;-0.225;0.075;-0.0014797393988164298;-14.901868934837342;0.0025
B30;-0.175;0.075;-0.001099115584524155;-13.366871575647451;0.0025
B30;-0.125;0.075;-0.0007184917702318805;-11.831874216457564;0.0025
B30;-0.075;0.075;-0.00033786795593960574;-10.296876857267675;0.0025
B30;-0.025;0.075;4.2755858352668897e-05;0.0;0.0025
B30;0.025;0.075;0.00042337967264494364;0.0;0.0025
B30;0.075;0.075;0.0008040034869372183;0.0;0.0025
B30;0.125;0.075;0.001184627301229493;0.0;0.0025
B30;0.175;0.075;0.0015652511155217676;0.0;0.0025
B30;0.225;0.075;0.0019458749298140424;0.0;0.0025
B30;-0.225;0.125;-0.0011642054974318522;-13.629369193167763;0.0025
B30;-0.175;0.125;-0.0007835816831395774;-12.094371833977872;0.0025
B30;-0.125;0.125;-0.0004029578688473028;-10.559374474787983;0.0025
B30;-0.075;0.125;-2.2334054555028077e-05;-0.7258567730384126;0.0025
B30;-0.025;0.125;0.00035828975973724655;0.0;0.0025
B30;0.025;0.125;0.0007389135740295212;0.0;0.0025
B30;0.075;0.125;0.001119537388321796;0.0;0.0025
B30;0.125;0.125;0.0015001612026140708;0.0;0.0025
B30;0.175;0.125;0.0018807850169063455;0.0;0.0025
B30;0.225;0.125;0.0022614088311986203;0.0;0.0025
B30;-0.225;0.175;-0.0008486715960472746;-12.356869451498184;0.0025
B30;-0.175;0.175;-0.0004680477817549999;-10.821872092308293;0.0025
B30;-0.125;0.175;-8.742396746272527e-05;-2.841278942538571;0.0025
B30;-0.075;0.175;0.00029319984682954947;0.0;0.0025
B30;-0.025;0.175;0.0006738236611218241;0.0;0.0025
B30;0.025;0.175;0.0010544474754140987;0.0;0.0025
B30;0.075;0.175;0.0014350712897063735;0.0;0.0025
B30;0.125;0.175;0.0018156951039986482;0.0;0.0025
B30;0.175;0.175;0.002196318918290923;0.0;0.0025
B30;0.225;0.175;0.0025769427325831977;0.0;0.0025
A500;0.21;-0.16;0.00034867844901884484;69.73568980376898;0.0006158
A500;0.21;0.0;0.0013583869334494935;271.6773866898987;0.0001539
A500;0.21;0.16;0.002368095417880142;435.0;0.0006158
A500;0.0;-0.16;-0.0012499415710087087;-249.98831420174176;0.0001539
A500;0.0;0.16;0.0007694753978525884;153.89507957051768;0.0001539
A500;-0.21;-0.16;-0.0028485615910362624;-400.0;0.0006158
A500;-0.21;0.0;-0.0018388531066056138;-367.77062132112275;0.0001539
A500;-0.21;0.16;-0.0008291446221749653;-165.82892443499304;0.0006158
