Program =RC_frame.v1.0= designed by G. Berezin in 2020
L/C 3
1_st analysis:
Solution: ok
Results after 44 iterations:
    Grade     Zx     Zy    Strain      Stress      Area
0     B30  -0.25   -0.2 -0.003405       -17.0       0.0
1     B30  -0.25  -0.15  -0.00309       -17.0       0.0
2     B30  -0.25   -0.1 -0.002774       -17.0       0.0
3     B30  -0.25  -0.05 -0.002459       -17.0       0.0
4     B30  -0.25    0.0 -0.002143       -17.0       0.0
5     B30  -0.25   0.05 -0.001828  -16.305617       0.0
6     B30  -0.25    0.1 -0.001512  -15.033118       0.0
7     B30  -0.25   0.15 -0.001197  -13.760618       0.0
8     B30  -0.25    0.2 -0.000881  -12.488118       0.0
9     B30   0.25   -0.2  0.000401         0.0       0.0
10    B30   0.25  -0.15  0.000716         0.0       0.0
11    B30   0.25   -0.1  0.001032         0.0       0.0
12    B30   0.25  -0.05  0.001347         0.0       0.0
13    B30   0.25    0.0  0.001663         0.0       0.0
14    B30   0.25   0.05  0.001978         0.0       0.0
15    B30   0.25    0.1  0.002294         0.0       0.0
16    B30   0.25   0.15  0.002609         0.0       0.0
17    B30   0.25    0.2  0.002925         0.0       0.0
18    B30   -0.2   -0.2 -0.003025       -17.0       0.0
19    B30  -0.15   -0.2 -0.002644       -17.0       0.0
20    B30   -0.1   -0.2 -0.002264       -17.0       0.0
21    B30  -0.05   -0.2 -0.001883  -16.528127       0.0
22    B30    0.0   -0.2 -0.001502  -14.993129       0.0
23    B30   0.05   -0.2 -0.001122  -13.458132       0.0
24    B30    0.1   -0.2 -0.000741  -11.923135       0.0
25    B30   0.15   -0.2  -0.00036  -10.388137       0.0
26    B30    0.2   -0.2   0.00002         0.0       0.0
27    B30   -0.2    0.2 -0.000501  -10.953121       0.0
28    B30  -0.15    0.2  -0.00012    -3.89899       0.0
29    B30   -0.1    0.2  0.000261         0.0       0.0
30    B30  -0.05    0.2  0.000641         0.0       0.0
31    B30    0.0    0.2  0.001022         0.0       0.0
32    B30   0.05    0.2  0.001403         0.0       0.0
33    B30    0.1    0.2  0.001783         0.0       0.0
34    B30   0.15    0.2  0.002164         0.0       0.0
35    B30    0.2    0.2  0.002544         0.0       0.0
36    B30 -0.225 -0.175 -0.003057       -17.0    0.0025
37    B30 -0.175 -0.175 -0.002677       -17.0    0.0025
38    B30 -0.125 -0.175 -0.002296       -17.0    0.0025
39    B30 -0.075 -0.175 -0.001916  -16.659376    0.0025
40    B30 -0.025 -0.175 -0.001535  -15.124378    0.0025
41    B30  0.025 -0.175 -0.001154  -13.589381    0.0025
42    B30  0.075 -0.175 -0.000774  -12.054383    0.0025
43    B30  0.125 -0.175 -0.000393  -10.519386    0.0025
44    B30  0.175 -0.175 -0.000012   -0.403598    0.0025
45    B30  0.225 -0.175  0.000368         0.0    0.0025
46    B30 -0.225 -0.125 -0.002742       -17.0    0.0025
47    B30 -0.175 -0.125 -0.002361       -17.0    0.0025
48    B30 -0.125 -0.125 -0.001981  -16.921873    0.0025
49    B30 -0.075 -0.125   -0.0016  -15.386876    0.0025
50    B30 -0.025 -0.125 -0.001219  -13.851878    0.0025
51    B30  0.025 -0.125 -0.000839  -12.316881    0.0025
52    B30  0.075 -0.125 -0.000458  -10.781884    0.0025
53    B30  0.125 -0.125 -0.000078    -2.51902    0.0025
54    B30  0.175 -0.125  0.000303         0.0    0.0025
55    B30  0.225 -0.125  0.000684         0.0    0.0025
56    B30 -0.225 -0.075 -0.002426       -17.0    0.0025
57    B30 -0.175 -0.075 -0.002046       -17.0    0.0025
58    B30 -0.125 -0.075 -0.001665  -15.649373    0.0025
59    B30 -0.075 -0.075 -0.001284  -14.114376    0.0025
60    B30 -0.025 -0.075 -0.000904  -12.579379    0.0025
61    B30  0.025 -0.075 -0.000523  -11.044381    0.0025
62    B30  0.075 -0.075 -0.000143   -4.634442    0.0025
63    B30  0.125 -0.075  0.000238         0.0    0.0025
64    B30  0.175 -0.075  0.000619         0.0    0.0025
65    B30  0.225 -0.075  0.000999         0.0    0.0025
66    B30 -0.225 -0.025 -0.002111       -17.0    0.0025
67    B30 -0.175 -0.025  -0.00173  -15.911871    0.0025
68    B30 -0.125 -0.025  -0.00135  -14.376874    0.0025
69    B30 -0.075 -0.025 -0.000969  -12.841876    0.0025
70    B30 -0.025 -0.025 -0.000588  -11.306879    0.0025
71    B30  0.025 -0.025 -0.000208   -6.749864    0.0025
72    B30  0.075 -0.025  0.000173         0.0    0.0025
73    B30  0.125 -0.025  0.000554         0.0    0.0025
74    B30  0.175 -0.025  0.000934         0.0    0.0025
75    B30  0.225 -0.025  0.001315         0.0    0.0025
76    B30 -0.225  0.025 -0.001795  -16.174369    0.0025
77    B30 -0.175  0.025 -0.001415  -14.639371    0.0025
78    B30 -0.125  0.025 -0.001034  -13.104374    0.0025
79    B30 -0.075  0.025 -0.000653  -11.569377    0.0025
80    B30 -0.025  0.025 -0.000273   -8.865286    0.0025
81    B30  0.025  0.025  0.000108         0.0    0.0025
82    B30  0.075  0.025  0.000488         0.0    0.0025
83    B30  0.125  0.025  0.000869         0.0    0.0025
84    B30  0.175  0.025   0.00125         0.0    0.0025
85    B30  0.225  0.025   0.00163         0.0    0.0025
86    B30 -0.225  0.075  -0.00148  -14.901869    0.0025
87    B30 -0.175  0.075 -0.001099  -13.366872    0.0025
88    B30 -0.125  0.075 -0.000718  -11.831874    0.0025
89    B30 -0.075  0.075 -0.000338  -10.296877    0.0025
90    B30 -0.025  0.075  0.000043         0.0    0.0025
91    B30  0.025  0.075  0.000423         0.0    0.0025
92    B30  0.075  0.075  0.000804         0.0    0.0025
93    B30  0.125  0.075  0.001185         0.0    0.0025
94    B30  0.175  0.075  0.001565         0.0    0.0025
95    B30  0.225  0.075  0.001946         0.0    0.0025
96    B30 -0.225  0.125 -0.001164  -13.629369    0.0025
97    B30 -0.175  0.125 -0.000784  -12.094372    0.0025
98    B30 -0.125  0.125 -0.000403  -10.559374    0.0025
99    B30 -0.075  0.125 -0.000022   -0.725857    0.0025
100   B30 -0.025  0.125  0.000358         0.0    0.0025
101   B30  0.025  0.125  0.000739         0.0    0.0025
102   B30  0.075  0.125   0.00112         0.0    0.0025
103   B30  0.125  0.125    0.0015         0.0    0.0025
104   B30  0.175  0.125  0.001881         0.0    0.0025
105   B30  0.225  0.125  0.002261         0.0    0.0025
106   B30 -0.225  0.175 -0.000849  -12.356869    0.0025
107   B30 -0.175  0.175 -0.000468  -10.821872    0.0025
108   B30 -0.125  0.175 -0.000087   -2.841279    0.0025
109   B30 -0.075  0.175  0.000293         0.0    0.0025
110   B30 -0.025  0.175  0.000674         0.0    0.0025
111   B30  0.025  0.175  0.001054         0.0    0.0025
112   B30  0.075  0.175  0.001435         0.0    0.0025
113   B30  0.125  0.175  0.001816         0.0    0.0025
114   B30  0.175  0.175  0.002196         0.0    0.0025
115   B30  0.225  0.175  0.002577         0.0    0.0025
116  A500   0.21  -0.16  0.000349    69.73569  0.000616
117  A500   0.21    0.0  0.001358  271.677387  0.000154
118  A500   0.21   0.16  0.002368       435.0  0.000616
119  A500    0.0  -0.16  -0.00125 -249.988314  0.000154
120  A500    0.0   0.16  0.000769   153.89508  0.000154
121  A500  -0.21  -0.16 -0.002849      -400.0  0.000616
122  A500  -0.21    0.0 -0.001839 -367.770621  0.000154
123  A500  -0.21   0.16 -0.000829 -165.828924  0.000616
Convergence is reached !
     Given     Found         u
Mx   320.0   319.998  0.007612
My   140.0   139.998  0.006311
N  -1500.0 -1499.992 -0.000240
Job time: 0.0393 seconds
