Program =RC_frame.v1.0= designed by G. Berezin in 2020
L/C 4
1_st analysis:
Solution: ok
Results after 5 iterations:
    Grade     Zx     Zy Strain      Stress      Area
0     B30  -0.25   -0.2    0.0         0.0       0.0
1     B30  -0.25  -0.15    0.0       -17.0       0.0
2     B30  -0.25   -0.1    0.0       -17.0       0.0
3     B30  -0.25  -0.05    0.0       -17.0       0.0
4     B30  -0.25    0.0    0.0       -17.0       0.0
5     B30  -0.25   0.05    0.0  -16.960888       0.0
6     B30  -0.25    0.1    0.0  -15.595103       0.0
7     B30  -0.25   0.15    0.0  -14.229318       0.0
8     B30  -0.25    0.2    0.0  -12.863533       0.0
9     B30   0.25   -0.2    0.0         0.0       0.0
10    B30   0.25  -0.15    0.0         0.0       0.0
11    B30   0.25   -0.1    0.0         0.0       0.0
12    B30   0.25  -0.05    0.0         0.0       0.0
13    B30   0.25    0.0    0.0         0.0       0.0
14    B30   0.25   0.05    0.0         0.0       0.0
15    B30   0.25    0.1    0.0         0.0       0.0
16    B30   0.25   0.15    0.0         0.0       0.0
17    B30   0.25    0.2    0.0         0.0       0.0
18    B30   -0.2   -0.2    0.0       -17.0       0.0
19    B30  -0.15   -0.2    0.0       -17.0       0.0
20    B30   -0.1   -0.2    0.0       -17.0       0.0
21    B30  -0.05   -0.2    0.0       -17.0       0.0
22    B30    0.0   -0.2    0.0  -15.434214       0.0
23    B30   0.05   -0.2    0.0  -13.763094       0.0
24    B30    0.1   -0.2    0.0  -12.091975       0.0
25    B30   0.15   -0.2    0.0  -10.420855       0.0
26    B30    0.2   -0.2    0.0         0.0       0.0
27    B30   -0.2    0.2    0.0  -11.192413       0.0
28    B30  -0.15    0.2    0.0   -4.730421       0.0
29    B30   -0.1    0.2    0.0         0.0       0.0
30    B30  -0.05    0.2    0.0         0.0       0.0
31    B30    0.0    0.2    0.0         0.0       0.0
32    B30   0.05    0.2    0.0         0.0       0.0
33    B30    0.1    0.2    0.0         0.0       0.0
34    B30   0.15    0.2    0.0         0.0       0.0
35    B30    0.2    0.2    0.0         0.0       0.0
36    B30 -0.225 -0.175    0.0       -17.0    0.0025
37    B30 -0.175 -0.175    0.0       -17.0    0.0025
38    B30 -0.125 -0.175    0.0       -17.0    0.0025
39    B30 -0.075 -0.175    0.0       -17.0    0.0025
40    B30 -0.025 -0.175    0.0  -15.586882    0.0025
41    B30  0.025 -0.175    0.0  -13.915762    0.0025
42    B30  0.075 -0.175    0.0  -12.244642    0.0025
43    B30  0.125 -0.175    0.0  -10.573522    0.0025
