Grade;Z;Strain1;Strain2;Stress1;Stress2;Angle;Area
B60;0.25;0.00014834825305467373;8.491352307460768e-05;2.7;2.3638226599843803;51.778;0.0
B60;0.24;0.00014298038734763803;8.164118281106801e-05;2.7;2.290903936092575;51.874;0.02
B60;0.22;0.00013224580861419738;7.509534960335795e-05;2.7;2.145040802715817;52.088;0.02
B60;0.2;0.0001215130706263107;6.854767565009394e-05;2.7;1.9991366513500992;52.335;0.02
B60;0.18;0.00011078264711888547;6.199768721636844e-05;2.7;1.853180925591704;52.625;0.02
B60;0.16;0.00010005518876964255;5.544473362446068e-05;2.7;1.7071591261571706;52.969;0.02
B60;0.14;8.933161376925688e-05;4.8887896683695666e-05;2.4622725489160406;1.5610507926765749;53.384;0.02
B60;0.12;7.861325989485298e-05;4.2325838616948845e-05;2.2234316510269854;1.4148261149856551;53.895;0.02
B60;0.1;6.790215248416978e-05;3.575653408648134e-05;1.9847522286706336;1.2684399617620328;54.537;0.02
B60;0.08;5.720150479143008e-05;2.917676983807034e-05;1.7463058839355812;1.1218207309171109;55.368;0.02
B60;0.06;4.651672044773175e-05;2.2581142240617938e-05;1.508213027858672;0.8919551185044086;56.485;0.02
B60;0.04;3.585758443982165e-05;1.5959866307377343e-05;1.270691702785572;0.630414719141405;58.059;0.02
B60;0.02;2.5243599614440282e-05;9.293439191608004e-06;0.9971221847703912;0.36709084806851616;60.421;0.02
B60;0.0;1.4718822360619509e-05;2.537804504278068e-06;0.5813934832444706;0.10024327791898369;64.288;0.02
B60;-0.02;4.39911421729432e-06;-4.4228992935474504e-06;0.17376501158312566;-0.1747045220951243;71.328;0.02
B60;-0.04;-5.38254973933855e-06;-1.1921647278065289e-05;-0.21261071470387272;-0.4709050674835789;84.803;0.02
B60;-0.06;-1.400700317182345e-05;-2.057760578673109e-05;-0.5532766252870263;-0.8128154285758781;-76.457;0.02
B60;-0.08;-2.148652943629606e-05;-3.037849146340919e-05;-0.8487179127336943;-1.199950412804663;-63.166;0.02
B60;-0.1;-2.8439970165144906e-05;-4.0705462675711055e-05;-1.1233788215232239;-1.6078657756905868;-56.231;0.02
B60;-0.12;-3.5192654748517385e-05;-5.123319003348928e-05;-1.3901098625664368;-2.0237110063228267;-52.413;0.02
B60;-0.14;-4.185767457252234e-05;-6.184858215063505e-05;-1.6533781456146326;-2.4430189949500845;-50.075;0.02
B60;-0.16;-4.8478186109687115e-05;-7.250848255462098e-05;-1.9148883513326411;-2.8640850609075286;-48.515;0.02
B60;-0.18;-5.507335665765651e-05;-8.319372394780229e-05;-2.1753975879774323;-3.2861520959381902;-47.406;0.02
B60;-0.2;-6.165282730368224e-05;-9.389466524292729e-05;-2.4352866784954483;-3.708839277095628;-46.58;0.02
B60;-0.22;-6.82219325736035e-05;-0.0001046059719141567;-2.6947663366573384;-4.131935890609189;-45.941;0.02
B60;-0.24;-7.47838494376025e-05;-0.00011532446699130841;-2.9539620527852986;-4.555316446156683;-45.434;0.02
B60;-0.25;-7.80627691207247e-05;-0.00012068575327876158;-3.0834793802686256;-4.7670872545110825;-45.217;0.0
A500;0.178;7.913928488856376e-05;0.0;18.202035524369666;0.0;0.0;0.002454
A500;0.153;8.074910770694095e-05;0.0;18.57229477259642;0.0;90.0;0.002454
A500;-0.153;-5.5897034971620994e-05;0.0;-11.179406994324198;0.0;90.0;0.002454
A500;-0.178;-6.947810389408858e-05;0.0;-13.895620778817715;0.0;0.0;0.002454
