Grade;Z;Strain1;Strain2;Stress1;Stress2;Angle;Area
B60;0.25;-1.8335270489054684e-05;-5.884159960297874e-05;-0.72424318431766;-2.3242431843176603;45.0;0.0
B60;0.24;-1.8335270489054684e-05;-5.884159960297874e-05;-0.72424318431766;-2.3242431843176603;45.0;0.02
B60;0.22;-1.8335270489054684e-05;-5.884159960297874e-05;-0.72424318431766;-2.3242431843176603;45.0;0.02
B60;0.2;-1.8335270489054684e-05;-5.884159960297874e-05;-0.72424318431766;-2.3242431843176603;45.0;0.02
B60;0.18;-1.8335270489054684e-05;-5.884159960297874e-05;-0.72424318431766;-2.3242431843176603;45.0;0.02
B60;0.16;-1.8335270489054684e-05;-5.884159960297874e-05;-0.72424318431766;-2.3242431843176603;45.0;0.02
B60;0.14;-1.8335270489054684e-05;-5.884159960297874e-05;-0.72424318431766;-2.3242431843176603;45.0;0.02
B60;0.12;-1.8335270489054684e-05;-5.884159960297874e-05;-0.72424318431766;-2.3242431843176603;45.0;0.02
B60;0.1;-1.8335270489054684e-05;-5.884159960297874e-05;-0.72424318431766;-2.3242431843176603;45.0;0.02
B60;0.08;-1.8335270489054684e-05;-5.884159960297874e-05;-0.72424318431766;-2.3242431843176603;45.0;0.02
B60;0.06;-1.8335270489054684e-05;-5.884159960297874e-05;-0.72424318431766;-2.3242431843176603;45.0;0.02
B60;0.04;-1.8335270489054684e-05;-5.884159960297874e-05;-0.72424318431766;-2.3242431843176603;45.0;0.02
B60;0.02;-1.8335270489054684e-05;-5.884159960297874e-05;-0.72424318431766;-2.3242431843176603;45.0;0.02
B60;0.0;-1.8335270489054684e-05;-5.884159960297874e-05;-0.72424318431766;-2.3242431843176603;45.0;0.02
B60;-0.02;-1.8335270489054684e-05;-5.884159960297874e-05;-0.72424318431766;-2.3242431843176603;45.0;0.02
B60;-0.04;-1.8335270489054684e-05;-5.884159960297874e-05;-0.72424318431766;-2.3242431843176603;45.0;0.02
B60;-0.06;-1.8335270489054684e-05;-5.884159960297874e-05;-0.72424318431766;-2.3242431843176603;45.0;0.02
B60;-0.08;-1.8335270489054684e-05;-5.884159960297874e-05;-0.72424318431766;-2.3242431843176603;45.0;0.02
B60;-0.1;-1.8335270489054684e-05;-5.884159960297874e-05;-0.72424318431766;-2.3242431843176603;45.0;0.02
B60;-0.12;-1.8335270489054684e-05;-5.884159960297874e-05;-0.72424318431766;-2.3242431843176603;45.0;0.02
B60;-0.14;-1.8335270489054684e-05;-5.884159960297874e-05;-0.72424318431766;-2.3242431843176603;45.0;0.02
B60;-0.16;-1.8335270489054684e-05;-5.884159960297874e-05;-0.72424318431766;-2.3242431843176603;45.0;0.02
B60;-0.18;-1.8335270489054684e-05;-5.884159960297874e-05;-0.72424318431766;-2.3242431843176603;45.0;0.02
B60;-0.2;-1.8335270489054684e-05;-5.884159960297874e-05;-0.72424318431766;-2.3242431843176603;45.0;0.02
B60;-0.22;-1.8335270489054684e-05;-5.884159960297874e-05;-0.72424318431766;-2.3242431843176603;45.0;0.02
B60;-0.24;-1.8335270489054684e-05;-5.884159960297874e-05;-0.72424318431766;-2.3242431843176603;45.0;0.02
B60;-0.25;-1.8335270489054684e-05;-5.884159960297874e-05;-0.72424318431766;-2.3242431843176603;45.0;0.0
A500;0.178;-3.858843504601671e-05;0.0;-7.717687009203342;0.0;0.0;0.002454
A500;0.153;-3.8588435046016705e-05;0.0;-7.71768700920334;0.0;90.0;0.002454
A500;-0.153;-3.8588435046016705e-05;0.0;-7.71768700920334;0.0;90.0;0.002454
A500;-0.178;-3.858843504601671e-05;0.0;-7.717687009203342;0.0;0.0;0.002454
